run_name,type,lambda_bt,n_dims_code,epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
221218_064548-VAEBT-64-[64]-10-lambda_0.0025,VAEBT,0.0025,64,200,0.22294323,0.10085054,0.14377072,0.22203198,0.09995607,0.14267902,[64],0.005,0.1,10
221218_121328-VAE-16-[32]-10-lambda_0.0,VAE,0.0,16,200,0.23233078,0.11068995,0.16983238,0.23088928,0.10975051,0.1684135,[32],0.005,0.1,10
221218_051218-VAEBT-16-[32]-10-lambda_0.25,VAEBT,0.25,16,200,0.23284603,0.11166507,0.17081091,0.23122233,0.11065854,0.1692045,[32],0.005,0.1,10
221218_051251-VAEBT-16-[32]-10-lambda_0.0025,VAEBT,0.0025,16,200,0.23348541,0.11220554,0.17185646,0.23197923,0.11123981,0.17036797,[32],0.005,0.1,10
221218_051304-VAEBT-16-[32]-10-lambda_0.00025,VAEBT,0.00025,16,200,0.23403925,0.11257198,0.17220528,0.23253528,0.11163187,0.17067781,[32],0.005,0.1,10
221218_051306-VAEBT-16-[32]-10-lambda_-0.00025,VAEBT,-0.00025,16,200,0.23407653,0.1126253,0.17227793,0.23256403,0.11167647,0.17074366,[32],0.005,0.1,10
221218_051245-VAEBT-16-[32]-10-lambda_0.025,VAEBT,0.025,16,200,0.23440005,0.11272995,0.17242335,0.23300273,0.1118047,0.17105372,[32],0.005,0.1,10
221218_125420-VAE-128-[64]-10-lambda_0.0,VAE,0.0,128,200,0.24248942,0.12427101,0.17573401,0.24177648,0.12356132,0.17484058,[64],0.005,0.1,10
221218_075806-VAEBT-128-[64]-10-lambda_0.25,VAEBT,0.25,128,200,0.24579391,0.12828588,0.18067126,0.2450478,0.12761514,0.17988762,[64],0.005,0.1,10
221218_080027-VAEBT-128-[64]-10-lambda_0.025,VAEBT,0.025,128,200,0.24569228,0.12801503,0.18062162,0.2450808,0.12750393,0.17999272,[64],0.005,0.1,10
221218_080040-VAEBT-128-[64]-10-lambda_0.0025,VAEBT,0.0025,128,200,0.24573703,0.12824963,0.18059745,0.24510423,0.12780991,0.17999598,[64],0.005,0.1,10
221218_080049-VAEBT-128-[64]-10-lambda_0.00025,VAEBT,0.00025,128,200,0.24603641,0.12826715,0.18083487,0.24535203,0.12775142,0.1801431,[64],0.005,0.1,10
221218_080051-VAEBT-128-[64]-10-lambda_-0.00025,VAEBT,-0.00025,128,200,0.24603398,0.12825537,0.18086894,0.24532128,0.12773551,0.18016319,[64],0.005,0.1,10
221218_062146-VAEBT-64-[32]-10-lambda_-0.00025,VAEBT,-0.00025,64,200,0.26073136,0.13801777,0.19934325,0.25934161,0.13720837,0.19796903,[32],0.005,0.1,10
221218_062136-VAEBT-64-[32]-10-lambda_0.0025,VAEBT,0.0025,64,200,0.26070861,0.1384311,0.19945984,0.25925948,0.13762259,0.19807893,[32],0.005,0.1,10
221218_061959-VAEBT-64-[32]-10-lambda_0.25,VAEBT,0.25,64,200,0.2610087,0.13842504,0.19974512,0.25956508,0.13749701,0.19816563,[32],0.005,0.1,10
221218_062131-VAEBT-64-[32]-10-lambda_0.025,VAEBT,0.025,64,200,0.26135128,0.13826981,0.20013766,0.25986553,0.13736601,0.19867176,[32],0.005,0.1,10
221218_062143-VAEBT-64-[32]-10-lambda_0.00025,VAEBT,0.00025,64,200,0.26145286,0.13795729,0.20023957,0.26013316,0.1371322,0.19897747,[32],0.005,0.1,10
221218_123417-VAE-64-[32]-10-lambda_0.0,VAE,0.0,64,200,0.26271619,0.13928831,0.20053945,0.26121473,0.13847925,0.19912478,[32],0.005,0.1,10
221218_042506-VAEBT-2-[64]-10-lambda_-0.00025,VAEBT,-0.00025,2,200,0.33804622,0.21208997,0.32217282,0.34433375,0.21558262,0.32858539,[64],0.005,0.1,10
221218_042503-VAEBT-2-[64]-10-lambda_0.00025,VAEBT,0.00025,2,200,0.33835353,0.21226235,0.32249707,0.34436984,0.21552046,0.32862312,[64],0.005,0.1,10
221218_042453-VAEBT-2-[64]-10-lambda_0.025,VAEBT,0.025,2,200,0.33819953,0.212275,0.32233387,0.34439191,0.21568243,0.32864988,[64],0.005,0.1,10
