epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.70561237,0.49971086,0.69557375,0.70491706,0.49958330,0.69531858,[512],0.00500000,0.10000000,5
1,0.40919616,0.26202717,0.39366814,0.40554503,0.26208776,0.39250636,[512],0.00500000,0.10000000,5
2,0.38502231,0.24533300,0.36755475,0.38181206,0.24629776,0.36734384,[512],0.00500000,0.10000000,5
3,0.37556044,0.23869626,0.35743091,0.37286278,0.23997922,0.35796082,[512],0.00500000,0.10000000,5
4,0.36991341,0.23352741,0.35127762,0.36802369,0.23525929,0.35274893,[512],0.00500000,0.10000000,5
10,0.35619022,0.22100630,0.33648866,0.35638053,0.22408545,0.34044954,[512],0.00500000,0.10000000,5
20,0.34510600,0.21369316,0.32442495,0.34930591,0.21819957,0.33281511,[512],0.00500000,0.10000000,5
30,0.33948072,0.20868833,0.31827205,0.34773600,0.21456219,0.33093736,[512],0.00500000,0.10000000,5
40,0.33603106,0.20611587,0.31418040,0.34717650,0.21303868,0.32991359,[512],0.00500000,0.10000000,5
50,0.33273425,0.20506392,0.31084329,0.34705075,0.21316554,0.32988238,[512],0.00500000,0.10000000,5
60,0.33129203,0.20261654,0.30908394,0.34754359,0.21144986,0.33014894,[512],0.00500000,0.10000000,5
70,0.33029784,0.20203471,0.30806613,0.34854788,0.21158397,0.33119729,[512],0.00500000,0.10000000,5
80,0.32817597,0.20101206,0.30561265,0.34781581,0.21091494,0.33021814,[512],0.00500000,0.10000000,5
90,0.32730287,0.19962379,0.30465043,0.34868375,0.21007487,0.33106086,[512],0.00500000,0.10000000,5
100,0.32657409,0.19859840,0.30378401,0.34943962,0.20963624,0.33172590,[512],0.00500000,0.10000000,5
110,0.32468341,0.19722006,0.30161482,0.34907969,0.20871197,0.33117196,[512],0.00500000,0.10000000,5
120,0.32620416,0.19788019,0.30312839,0.35127263,0.20963404,0.33331847,[512],0.00500000,0.10000000,5
130,0.32503634,0.19697310,0.30181563,0.35121875,0.20908093,0.33314857,[512],0.00500000,0.10000000,5
140,0.32409406,0.19763696,0.30098736,0.35173803,0.21028224,0.33383194,[512],0.00500000,0.10000000,5
150,0.32246494,0.19624089,0.29927239,0.35126372,0.20919718,0.33333352,[512],0.00500000,0.10000000,5
160,0.32241731,0.19593662,0.29899448,0.35327491,0.20962489,0.33514532,[512],0.00500000,0.10000000,5
170,0.32188763,0.19503491,0.29859820,0.35252453,0.20868936,0.33454064,[512],0.00500000,0.10000000,5
180,0.32292094,0.19510573,0.29954585,0.35453225,0.20892000,0.33644572,[512],0.00500000,0.10000000,5
190,0.32114447,0.19467583,0.29753664,0.35414878,0.20907925,0.33592510,[512],0.00500000,0.10000000,5
200,0.32031800,0.19446017,0.29654515,0.35443794,0.20914045,0.33609048,[512],0.00500000,0.10000000,5
