epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.71144463,0.50134718,0.70237464,0.71159075,0.50141847,0.70252001,[32],0.00500000,0.10000000,5
1,0.43944094,0.28697270,0.42465466,0.43771181,0.28586042,0.42273265,[32],0.00500000,0.10000000,5
2,0.41046475,0.26510438,0.39716905,0.40901338,0.26487720,0.39562339,[32],0.00500000,0.10000000,5
3,0.39915397,0.25822982,0.38601732,0.39836125,0.25814071,0.38517565,[32],0.00500000,0.10000000,5
4,0.39295191,0.25280091,0.37988424,0.39216150,0.25310037,0.37905908,[32],0.00500000,0.10000000,5
10,0.37816600,0.24284504,0.36526307,0.37837953,0.24401619,0.36546117,[32],0.00500000,0.10000000,5
20,0.36994669,0.23745027,0.35699487,0.37100603,0.23921800,0.35811573,[32],0.00500000,0.10000000,5
30,0.36518800,0.23262793,0.35199368,0.36673447,0.23437412,0.35359713,[32],0.00500000,0.10000000,5
40,0.36193391,0.23074965,0.34875908,0.36385256,0.23268428,0.35077134,[32],0.00500000,0.10000000,5
50,0.35999122,0.22941975,0.34681803,0.36199522,0.23132132,0.34890896,[32],0.00500000,0.10000000,5
60,0.35801297,0.22793250,0.34466037,0.36030653,0.22998737,0.34704223,[32],0.00500000,0.10000000,5
70,0.35651387,0.22663003,0.34309962,0.35941569,0.22887468,0.34610906,[32],0.00500000,0.10000000,5
80,0.35506753,0.22602959,0.34162760,0.35820309,0.22838850,0.34485343,[32],0.00500000,0.10000000,5
90,0.35438137,0.22504582,0.34089947,0.35773469,0.22738500,0.34436032,[32],0.00500000,0.10000000,5
100,0.35383600,0.22478633,0.34028924,0.35722584,0.22716665,0.34377676,[32],0.00500000,0.10000000,5
110,0.35291756,0.22380883,0.33923751,0.35638441,0.22625010,0.34279490,[32],0.00500000,0.10000000,5
120,0.35266450,0.22366475,0.33898532,0.35621028,0.22601876,0.34261522,[32],0.00500000,0.10000000,5
130,0.35190025,0.22363184,0.33837792,0.35585769,0.22612037,0.34241828,[32],0.00500000,0.10000000,5
140,0.35157441,0.22328308,0.33793771,0.35542675,0.22574955,0.34187776,[32],0.00500000,0.10000000,5
150,0.35146478,0.22318710,0.33783969,0.35514166,0.22554359,0.34159958,[32],0.00500000,0.10000000,5
160,0.35105131,0.22300456,0.33734500,0.35502084,0.22551897,0.34140474,[32],0.00500000,0.10000000,5
170,0.35099562,0.22289164,0.33734885,0.35511447,0.22547454,0.34155890,[32],0.00500000,0.10000000,5
180,0.35083591,0.22304857,0.33717799,0.35475594,0.22549817,0.34117413,[32],0.00500000,0.10000000,5
190,0.35024141,0.22233067,0.33656073,0.35426881,0.22475556,0.34066182,[32],0.00500000,0.10000000,5
200,0.34991656,0.22176255,0.33612615,0.35418037,0.22436868,0.34047237,[32],0.00500000,0.10000000,5
